OrderID,CustomerID,OrderDate,ProductID,Quantity,Discount,PaymentMethod,Status,Age,City,SignupDate,CustomerSegment,ProductName,Category,UnitPrice,Sales,OrderValue,NewOrderID,訂單人電話
500001,103695,2025-08-28,2003,4,10,Gateway,Completed,36,Qom,2024-03-05,Regular,USB-C Cable,Accessories,9,32,32,ORD-500001,980051642
500002,107935,2024-05-31,2014,1,10,Wallet,Completed,49,Kerman,2025-06-04,Regular,Backpack,Accessories,42,38,38,ORD-500002,902196690
500003,105141,2025-08-10,2002,1,20,CardToCard,Completed,36,Tehran,2025-10-19,Regular,Mechanical Keyboard,Electronics,62,50,50,ORD-500003,924469001
500004,108780,2024-10-11,2012,1,10,Gateway,Completed,45,Shiraz,2023-12-07,Regular,Office Chair,Home Office,180,162,162,ORD-500004,991068194
500005,101187,2024-02-19,2008,2,0,Gateway,Completed,24,Karaj,2023-12-02,Regular,Phone Case,Accessories,14,28,28,ORD-500005,978002816
500006,105545,2024-07-16,2011,4,0,Gateway,Returned,28,Tehran,2024-08-07,New,Desk Lamp,Home Office,32,128,128,ORD-500006,998992469
500007,106418,2025-10-15,2017,1,5,Wallet,Completed,23,Isfahan,2023-03-09,New,HDMI Cable,Accessories,11,10,10,ORD-500007,930174413
500008,108755,2024-12-03,2014,1,0,Gateway,Completed,41,Mashhad,2025-11-20,Regular,Backpack,Accessories,42,42,42,ORD-500008,919395065
500009,105133,2025-04-15,2004,1,10,Gateway,Completed,40,Isfahan,2025-05-04,New,Power Bank,Electronics,35,32,32,ORD-500009,908696333
500010,103111,2024-04-28,2014,2,5,Gateway,Cancelled,43,Mashhad,2024-06-20,New,Backpack,Accessories,42,80,80,ORD-500010,979521899
500011,102192,2024-03-21,2004,3,30,Gateway,Completed,37,Tehran,2023-12-02,New,Power Bank,Electronics,35,74,74,ORD-500011,929921753
500012,102921,2024-07-25,2001,1,5,Wallet,Completed,33,Tabriz,2024-01-19,VIP,Wireless Mouse,Electronics,18,17,17,ORD-500012,957394318
500013,101803,2025-02-12,2005,3,10,CardToCard,Completed,39,Isfahan,2024-10-31,Regular,Laptop Stand,Accessories,28,76,76,ORD-500013,985858335
500014,108853,2026-01-01,2001,2,5,CardToCard,Completed,44,Tehran,2025-08-14,New,Wireless Mouse,Electronics,18,34,34,ORD-500014,937630429
500015,102106,2025-10-21,2017,1,0,Wallet,Completed,31,Tehran,2025-12-10,Regular,HDMI Cable,Accessories,11,11,11,ORD-500015,957538469
500016,104175,2024-05-18,2002,3,0,Gateway,Completed,37,Rasht,2023-05-20,New,Mechanical Keyboard,Electronics,62,186,186,ORD-500016,930591037
500017,101158,2024-03-02,2001,2,5,Gateway,Completed,58,Tehran,2024-09-29,VIP,Wireless Mouse,Electronics,18,34,34,ORD-500017,947169482
500018,109942,2024-07-13,2013,2,0,Gateway,Completed,48,Rasht,2025-09-13,New,Notebook,Stationery,7,14,14,ORD-500018,956881926
500019,104270,2026-01-06,2013,1,0,CardToCard,Completed,42,Ahvaz,2023-10-20,Regular,Notebook,Stationery,7,7,7,ORD-500019,921489817
500020,109355,2025-03-21,2017,2,20,Cash,Completed,37,Rasht,2024-05-03,New,HDMI Cable,Accessories,11,18,18,ORD-500020,922709742
500021,105138,2025-11-28,2017,2,0,Gateway,Completed,49,Karaj,2023-05-27,Regular,HDMI Cable,Accessories,11,22,22,ORD-500021,998083325
500022,105368,2024-11-15,2013,2,0,Gateway,Completed,45,Isfahan,2025-09-04,Regular,Notebook,Stationery,7,14,14,ORD-500022,974828769
500023,108138,2025-05-25,2006,1,20,Cash,Completed,61,Tehran,2025-08-30,New,Webcam,Electronics,48,38,38,ORD-500023,921153141
500024,107845,2025-05-28,2013,3,0,Gateway,Completed,26,Tehran,2024-04-23,Regular,Notebook,Stationery,7,21,21,ORD-500024,981251303
500025,109039,2025-06-25,2013,1,15,Gateway,Completed,65,Ahvaz,2025-01-01,New,Notebook,Stationery,7,6,6,ORD-500025,980420710
500026,107998,2025-02-10,2010,2,5,CardToCard,Completed,34,Mashhad,2024-12-18,New,Fitness Band,Wearables,55,104,104,ORD-500026,974250634
500027,108982,2024-07-25,2006,2,10,Cash,Completed,43,Tehran,2024-05-08,Regular,Webcam,Electronics,48,86,86,ORD-500027,958951166
500028,103563,2025-01-05,2002,1,0,Gateway,Completed,38,Ahvaz,2023-04-11,Regular,Mechanical Keyboard,Electronics,62,62,62,ORD-500028,908541154
500029,100210,2026-05-29,2002,1,10,Wallet,Completed,55,Tehran,2024-04-13,Regular,Mechanical Keyboard,Electronics,62,56,56,ORD-500029,938070840
500030,104615,2024-08-23,2019,2,5,CardToCard,Completed,44,Tehran,2024-04-06,VIP,Tablet,Electronics,260,494,494,ORD-500030,950843431
500031,101683,2025-09-18,2011,2,0,Gateway,Completed,19,Shiraz,2025-04-27,Regular,Desk Lamp,Home Office,32,64,64,ORD-500031,989393392
500032,109032,2026-04-21,2008,2,0,Wallet,Completed,32,Karaj,2023-10-02,Regular,Phone Case,Accessories,14,28,28,ORD-500032,920431579
500033,107365,2025-05-04,2007,3,5,Gateway,Completed,65,Kerman,2025-12-15,Regular,Headphones,Electronics,75,214,214,ORD-500033,908331400
500034,105082,2025-02-26,2004,2,5,Gateway,Completed,42,Tehran,2025-11-02,New,Power Bank,Electronics,35,66,66,ORD-500034,964814109
500035,106013,2024-04-14,2008,5,10,Wallet,Completed,49,Tabriz,2024-07-05,Regular,Phone Case,Accessories,14,63,63,ORD-500035,980478854
500037,107822,2026-03-10,2013,1,0,Gateway,Completed,42,Tehran,2023-03-30,VIP,Notebook,Stationery,7,7,7,ORD-500037,970105447
500038,101279,2026-06-06,2001,4,15,Gateway,Completed,18,Karaj,2023-06-04,Regular,Wireless Mouse,Electronics,18,61,61,ORD-500038,908119811
500039,107601,2024-06-23,2013,5,5,Gateway,Returned,24,Karaj,2023-01-29,New,Notebook,Stationery,7,33,33,ORD-500039,926699845
500040,104265,2026-03-21,2011,4,10,Gateway,Cancelled,46,Tehran,2025-07-30,VIP,Desk Lamp,Home Office,32,115,115,ORD-500040,969785851
500041,104458,2024-11-16,2010,2,30,Gateway,Completed,19,Tehran,2025-10-27,Regular,Fitness Band,Wearables,55,77,77,ORD-500041,980378702
500042,104499,2025-06-19,2006,1,10,Gateway,Completed,29,Kerman,2023-02-17,Regular,Webcam,Electronics,48,43,43,ORD-500042,964266158
500043,109584,2024-07-12,2020,1,0,Gateway,Completed,18,Tabriz,2024-12-19,Regular,Gaming Controller,Gaming,68,68,68,ORD-500043,935502250
500044,104936,2024-08-02,2005,1,0,CardToCard,Completed,46,Mashhad,2024-02-02,Regular,Laptop Stand,Accessories,28,28,28,ORD-500044,957339493
500045,100241,2025-06-18,2017,2,5,Gateway,Completed,24,Tehran,2023-12-20,Regular,HDMI Cable,Accessories,11,21,21,ORD-500045,907848925
500046,107541,2025-02-22,2002,1,5,CardToCard,Completed,49,Mashhad,2024-06-02,Regular,Mechanical Keyboard,Electronics,62,59,59,ORD-500046,996071141
500047,109317,2026-05-16,2003,3,0,CardToCard,Completed,65,Tabriz,2023-12-02,Regular,USB-C Cable,Accessories,9,27,27,ORD-500047,950641908
500048,109778,2024-08-16,2010,2,0,Cash,Completed,36,Tehran,2023-11-13,New,Fitness Band,Wearables,55,110,110,ORD-500048,968773140
500049,102735,2026-01-28,2003,2,0,CardToCard,Completed,39,Qom,2025-01-03,VIP,USB-C Cable,Accessories,9,18,18,ORD-500049,931400185
500050,103894,2025-02-01,2017,1,5,Gateway,Completed,27,Tehran,2025-09-25,Regular,HDMI Cable,Accessories,11,10,10,ORD-500050,919098751
500051,102673,2024-04-26,2011,1,0,Gateway,Completed,58,Rasht,2025-07-26,New,Desk Lamp,Home Office,32,32,32,ORD-500051,919367846
500052,108100,2024-07-25,2013,3,10,Wallet,Completed,52,Mashhad,2024-09-17,VIP,Notebook,Stationery,7,19,19,ORD-500052,952360149
500053,106454,2025-10-14,2013,1,0,Wallet,Completed,50,Tehran,2023-02-26,New,Notebook,Stationery,7,7,7,ORD-500053,970206100
500054,106300,2025-12-15,2011,1,20,Wallet,Returned,26,Tabriz,2025-08-07,New,Desk Lamp,Home Office,32,26,26,ORD-500054,918909777
500055,109861,2024-02-04,2011,2,15,Cash,Completed,43,Tehran,2024-11-07,New,Desk Lamp,Home Office,32,54,54,ORD-500055,931592443
500056,108499,2024-12-20,2018,2,0,Wallet,Completed,46,Tehran,2023-01-17,New,Microphone,Electronics,85,170,170,ORD-500056,969343301
500057,101360,2025-03-02,2011,1,0,Gateway,Completed,35,Isfahan,2025-03-13,New,Desk Lamp,Home Office,32,32,32,ORD-500057,990083803
500058,104257,2025-06-15,2010,2,0,Gateway,Completed,33,Tehran,2024-06-05,New,Fitness Band,Wearables,55,110,110,ORD-500058,965593731
